Shape,Cut,Color,Clarity,Carat Weight,Length/Width Ratio,Depth %,Table %,Polish,Symmetry,Girdle,Culet,Length,Width,Height,Price,Type,Fluorescence
Oval,,H,VS1,1,1.56,65.1,54,Excellent,Very Good,Thick to Very Thick,None,8.26,5.31,3.46,3710,GIA,None
Emerald,,H,VS1,1.01,1.4,67.8,68,Very Good,Very Good,Thick,None,6.52,4.66,3.16,3710,GIA,Faint
Round,Excellent,E,VS1,1.59,1,61.4,57,Excellent,Excellent,Medium to Slightly Thick,None,7.49,7.51,4.6,1810,GIA Lab-Grown,
Oval,,G,VS2,1.01,1.4,59,58,Excellent,Excellent,Slightly Thick to Thick,None,8.11,5.8,3.42,4810,GIA,None
Marquise,,E,VS1,1.1,2.09,61.5,60,Excellent,Excellent,Medium to Slightly Thick,Pointed,11.14,5.33,3.28,1100,IGI Lab-Grown,None
Princess,Ideal,F,VVS2,1.03,1.02,71.3,68,Excellent,Excellent,Medium to Slightly Thick,Pointed,5.59,5.5,3.92,1150,IGI Lab-Grown,None
Radiant,,D,VS1,1.09,1.47,65.7,67,Excellent,Excellent,Slightly Thick,Pointed,7.44,5.05,3.32,1170,IGI Lab-Grown,None
Princess,Ideal,G,VVS2,1.01,1.01,71.4,71,Very Good,Very Good,Medium to Slightly Thick,None,5.64,5.59,3.99,3150,GIA,None
Princess,Ideal,E,VS1,1.04,1,71.9,67,Excellent,Excellent,Thin,Pointed,5.55,5.55,3.99,1040,IGI Lab-Grown,None
Radiant,,D,VVS2,1,1.54,68.1,67,Excellent,Excellent,Thick to Very Thick,None,7.37,4.78,3.26,3570,GIA,Medium
Round,Excellent,F,VS1,1.6,1,62.6,56,Excellent,Excellent,Medium to Slightly Thick,None,7.45,7.48,4.67,1860,GIA Lab-Grown,
Pear,,D,VS2,1.01,1.65,62.3,63,Excellent,Very Good,Thick to Very Thick,None,9.05,5.47,3.4,5070,GIA,None
Round,Excellent,F,VS2,1,1,62.2,56,Excellent,Excellent,Slightly Thick,None,6.34,6.36,3.95,3840,GIA,Strong
Oval,,E,VS2,1.01,1.38,64.4,59,Excellent,Very Good,Thick to Very Thick,None,7.62,5.53,3.56,4900,GIA,None
Radiant,,G,VS2,1.01,1.21,71.7,67,Excellent,Very Good,Thick to Very Thick,None,6.11,5.07,3.63,3580,GIA,None
Heart,,E,VS1,1.6,1.14,54.8,62,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.27,8.26,4.53,2170,IGI Lab-Grown,None
Oval,,D,VVS2,1,1.42,60.2,62,Excellent,Very Good,Thick to Very Thick,None,7.98,5.63,3.39,5050,GIA,Faint
Radiant,,G,VVS1,1.01,1.42,68.3,66,Excellent,Very Good,Medium to Slightly Thick,None,7.12,5.03,3.44,4110,GIA,None
Round,Excellent,D,VS1,1.56,1,60.4,58,Excellent,Excellent,Medium,None,7.5,7.52,4.54,1870,GIA Lab-Grown,
Pear,,D,VS1,1.02,1.66,61.3,60,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.31,5.61,3.44,1110,IGI Lab-Grown,None
Round,Ideal,D,VS1,1.51,1,60.2,59,Excellent,Excellent,Medium,Pointed,7.41,7.44,4.47,1770,IGI Lab-Grown,None
Marquise,,D,VS2,1.01,1.86,62.5,62,Excellent,Excellent,Slightly Thick to Thick,None,9.96,5.35,3.35,5190,GIA,Medium
Round,Excellent,H,VS1,1,1.01,63.4,58,Excellent,Very Good,Medium to Slightly Thick,None,6.29,6.38,4.01,3870,GIA,None
Marquise,,D,VVS2,1.01,2.13,57.1,58,Excellent,Excellent,Slightly Thick to Very Thick,None,10.97,5.15,2.94,6920,GIA,None
Marquise,,E,VVS2,1.09,1.9,61.1,60,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.42,5.48,3.35,1280,IGI Lab-Grown,None
Emerald,,H,IF,1,1.36,71.4,70,Very Good,Very Good,Very Thick to Extremely Thick,None,6.24,4.59,3.28,2870,GIA,Faint
Princess,Ideal,E,VVS2,1.03,1,72.2,66,Excellent,Excellent,Medium,Pointed,5.56,5.54,4,1200,IGI Lab-Grown,None
Heart,,G,VS2,1.02,1.17,59.1,57,Excellent,Excellent,Medium to Thick,None,6.01,7.06,4.17,3600,GIA,None
Oval,,D,VS1,1,1.38,60.8,60,Excellent,Excellent,Slightly Thick to Thick,Pointed,7.92,5.74,3.49,1060,IGI Lab-Grown,None
Pear,,D,VS1,1.02,1.6,60.5,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.98,5.62,3.4,1110,IGI Lab-Grown,None
Round,Ideal,E,VS1,1.59,1,60.8,58,Excellent,Excellent,Medium,Pointed,7.51,7.54,4.58,1850,IGI Lab-Grown,None
Oval,,H,VS1,1,1.48,57.5,58,Excellent,Very Good,Medium to Thick,None,8.31,5.62,3.23,3980,GIA,None
Heart,,H,VVS1,1.03,1.09,59.7,61,Excellent,Excellent,Slightly Thick to Very Thick,None,6.2,6.78,4.05,4010,GIA,Faint
Heart,,F,VS1,1.59,1.16,55.6,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.14,8.26,4.59,1940,IGI Lab-Grown,None
Cushion Modified,Ideal,E,VVS2,1.55,1.01,64.9,60,Excellent,Excellent,Medium to Very Thick,None,6.81,6.73,4.36,3120,GIA Lab-Grown,
Heart,,G,VVS2,1.32,1.18,62.7,59,Excellent,Excellent,Thick to Very Thick,None,6.39,7.53,4.73,7130,GIA,None
Round,Very Good,H,VS2,1.02,1.01,64.7,58,Excellent,Very Good,Slightly Thick to Thick,None,6.18,6.26,4.02,3330,GIA,Faint
Marquise,,D,VVS2,1.09,1.96,61.8,58,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.7,5.47,3.38,1410,IGI Lab-Grown,None
Radiant,,D,VVS2,1.02,1.31,66.9,67,Excellent,Excellent,Medium,Pointed,6.75,5.16,3.45,1280,IGI Lab-Grown,None
Emerald,,G,VS2,1,1.3,72.5,62,Excellent,Excellent,Thick to Very Thick,None,6.21,4.77,3.46,2750,GIA,None
Oval,,F,VS2,1,1.58,57,58,Excellent,Very Good,Thick to Very Thick,None,8.74,5.52,3.15,4490,GIA,None
Round,Excellent,H,VS1,1.02,1.01,62.1,59,Excellent,Excellent,Slightly Thick,None,6.4,6.45,3.99,3900,GIA,Faint
Oval,,H,VS1,1,1.35,62.9,61,Excellent,Excellent,Medium to Thick,None,7.71,5.72,3.6,3910,GIA,Faint
Round,Excellent,H,VVS1,1,1.01,60.3,60,Excellent,Excellent,Thin to Slightly Thick,None,6.48,6.54,3.93,4070,GIA,Medium
Pear,,E,VS1,1.06,1.59,63.8,59,Excellent,Excellent,Thin to Medium,Pointed,9.01,5.66,3.61,1070,IGI Lab-Grown,None
Round,Ideal,D,VS1,1.5,1,59.9,60,Excellent,Excellent,Medium,Pointed,7.43,7.46,4.46,1760,IGI Lab-Grown,None
Marquise,,D,VVS2,1.1,1.85,63.5,59,Excellent,Excellent,Medium to Thick,None,10.17,5.49,3.49,1410,GIA Lab-Grown,
Pear,,E,VS1,1.06,1.6,63.5,57,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.09,5.67,3.6,1070,IGI Lab-Grown,None
Round,Excellent,H,VS2,1,1.01,61.4,55,Excellent,Excellent,Medium to Slightly Thick,None,6.44,6.48,3.96,3840,GIA,None
Marquise,,D,VVS2,1.01,1.85,62.8,61,Excellent,Very Good,Medium to Thick,None,9.82,5.31,3.34,6870,GIA,None
Marquise,,H,VS2,1,1.79,65.6,59,Excellent,Very Good,Slightly Thick to Very Thick,None,9.31,5.19,3.4,3700,GIA,Medium
Radiant,,F,VS1,1,1.44,67.5,66,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.17,4.98,3.36,1040,IGI Lab-Grown,None
Pear,,G,VS2,1.02,2.58,56.3,65,Excellent,Excellent,Slightly Thick to Thick,None,12.25,4.74,2.67,5060,GIA,None
Round,Excellent,E,VS1,1.55,1,62,57,Excellent,Excellent,Medium,None,7.42,7.44,4.6,1770,GIA Lab-Grown,
Heart,,E,VS2,1,1.22,58.7,65,Excellent,Excellent,Thick to Extremely Thick,None,5.65,6.92,4.06,3090,GIA,Medium
Pear,,F,VS1,1.04,1.56,61.7,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.86,5.67,3.5,1040,IGI Lab-Grown,None
Round,Very Good,H,VS2,1,1.01,60.3,63,Excellent,Very Good,Slightly Thick to Thick,Very Small,6.31,6.39,3.83,3480,GIA,Strong
Heart,,D,VS1,1.03,1.17,58.4,58,Excellent,Excellent,Medium to Thick,None,6.08,7.12,4.16,4640,GIA,Strong
Oval,,E,VS1,1.06,1.42,61.2,60,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.26,5.83,3.57,1030,IGI Lab-Grown,None
Oval,,H,VS2,1,1.33,68.4,57,Excellent,Very Good,Thick to Extremely Thick,None,7.27,5.46,3.74,3790,GIA,Faint
Princess,Ideal,H,VS2,1.04,1.01,72,69,Excellent,Excellent,Slightly Thick,None,5.61,5.57,4.01,3110,GIA,None
Marquise,,D,VS1,1.04,2.02,63.8,60,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.56,5.22,3.33,1140,IGI Lab-Grown,None
Cushion Modified,Ideal,G,VVS1,1.01,1.01,68.6,63,Excellent,Excellent,Slightly Thick to Thick,None,5.54,5.5,3.77,2370,GIA,Strong
Marquise,,D,IF,1,1.9,64.3,62,Excellent,Very Good,Thick to Very Thick,None,9.81,5.16,3.32,7240,GIA,None
Marquise,,E,VVS2,1.1,1.98,62.8,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.7,5.4,3.39,1280,IGI Lab-Grown,None
Cushion,Ideal,D,VVS1,1.29,1,66.8,60,Excellent,Excellent,Medium to Thick,Pointed,6.32,6.32,4.22,2920,IGI Lab-Grown,None
Round,Excellent,G,VS2,1,1,61.9,62,Excellent,Excellent,Medium to Slightly Thick,None,6.36,6.39,3.95,4020,GIA,Medium
Oval,,D,VS1,1.04,1.43,60.5,60,Excellent,Very Good,Medium to Thick,None,8.29,5.79,3.51,1050,GIA Lab-Grown,
Radiant,,G,VVS1,1.01,1.26,69.4,67,Excellent,Excellent,Slightly Thick to Very Thick,None,6.29,4.99,3.46,3330,GIA,Faint
Marquise,,E,VVS1,1.06,2.05,58.7,56,Excellent,Excellent,Thick to Very Thick,None,10.78,5.27,3.09,6280,GIA,Faint
Round,Very Good,H,VVS2,1.01,1.01,63.9,60,Excellent,Very Good,Thick,None,6.23,6.28,4,3880,GIA,Faint
Pear,,E,VS2,1,1.46,66.3,58,Excellent,Excellent,Thin to Very Thick,None,8.02,5.51,3.65,3500,GIA,Faint
Radiant,,E,VS1,1.01,1.3,64.8,72,Excellent,Very Good,Medium to Thick,None,6.71,5.16,3.34,4390,GIA,None
Oval,,F,VS1,1,1.34,64.1,62,Excellent,Excellent,Slightly Thick to Very Thick,None,7.52,5.62,3.6,5000,GIA,None
Oval,,F,VS2,1,1.52,63.6,64,Excellent,Excellent,Medium to Very Thick,None,8.15,5.35,3.41,4690,GIA,None
Radiant,,G,VVS2,1,1.28,67.2,69,Excellent,Excellent,Slightly Thick to Thick,None,6.69,5.22,3.5,3100,GIA,None
Pear,,D,VVS1,1.05,1.52,62.8,55,Excellent,Very Good,Medium to Thick,None,8.81,5.81,3.65,1770,GIA Lab-Grown,
Emerald,,H,VS2,1,1.36,67.6,68,Excellent,Very Good,Thick to Very Thick,None,6.47,4.77,3.23,2570,GIA,None
Heart,,E,VS1,2.66,1.13,54.1,63,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.7,9.8,5.3,4400,IGI Lab-Grown,None
Cushion Modified,Ideal,D,VVS1,2.99,1.01,68.1,58,Excellent,Excellent,Thin to Slightly Thick,None,8.2,8.11,5.52,7070,GIA Lab-Grown,
Heart,,E,VS1,3.09,1.13,55.1,58,Excellent,Excellent,Medium to Thick,None,9.12,10.32,5.69,6600,GIA Lab-Grown,
Princess,Ideal,E,VVS2,1.05,1,71.5,67,Excellent,Very Good,Medium to Slightly Thick,None,5.58,5.56,3.98,1150,GIA Lab-Grown,
Cushion Modified,Ideal,E,VS1,2.06,1.01,66.1,61,Excellent,Excellent,Thin to Thick,None,7.51,7.44,4.92,3190,GIA Lab-Grown,
Princess,Ideal,E,VVS2,1.06,1.02,66.6,75,Excellent,Very Good,Slightly Thick to Thick,None,5.87,5.74,3.82,4090,GIA,None
Round,Very Good,H,VS2,1,1.01,61.7,64,Excellent,Very Good,Slightly Thick to Thick,None,6.32,6.39,3.92,3410,GIA,None
Round,Excellent,H,VS1,1.01,1.01,62.7,58,Excellent,Excellent,Medium to Slightly Thick,None,6.37,6.42,4.01,3970,GIA,None
Round,Excellent,E,VS1,1.57,1.01,60.5,58,Excellent,Excellent,Medium to Slightly Thick,None,7.49,7.55,4.55,1790,GIA Lab-Grown,
Pear,,E,VS1,1.08,1.64,60.8,58,Excellent,Excellent,Thin to Medium,Pointed,9.47,5.77,3.51,1090,IGI Lab-Grown,None
Heart,,D,VS1,1.28,1.09,64.5,58,Very Good,Very Good,Thick to Very Thick,None,6.55,7.12,4.59,6230,GIA,Medium
Marquise,,D,VVS2,1.21,2.22,60.8,62,Excellent,Excellent,Medium to Slightly Thick,Pointed,12.01,5.41,3.29,1540,IGI Lab-Grown,None
Round,Excellent,E,VS1,1.54,1,61.4,57,Excellent,Excellent,Thin to Medium,None,7.43,7.45,4.57,1760,GIA Lab-Grown,
Heart,,D,VS1,1,1.14,59.6,57,Very Good,Very Good,Thick to Very Thick,None,6.11,6.97,4.16,5270,GIA,None
Heart,,E,VS1,2.01,1.19,57.7,59,Excellent,Excellent,Slightly Thick to Thick,None,7.49,8.94,5.15,3100,GIA Lab-Grown,
Heart,,E,VVS2,4.43,1.1,53.3,61,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.73,11.79,6.28,10990,IGI Lab-Grown,None
Marquise,,F,VS1,1.51,1.85,58.7,64,Excellent,Excellent,Medium to Slightly Thick,None,11.6,6.28,3.69,16240,GIA,None
Square Radiant,,H,VS1,1.1,1.05,69.3,68,Excellent,Very Good,Thick,None,5.89,5.62,3.9,3990,GIA,None
Heart,,D,VVS1,1.01,1.1,57.9,58,Excellent,Excellent,Medium to Thick,None,6.31,6.96,4.03,8620,GIA,None
Radiant,,F,VVS1,1,1.26,66.5,69,Excellent,Excellent,Medium to Slightly Thick,None,6.48,5.16,3.43,4450,GIA,None
Radiant,,D,VS1,1.01,1.24,70.7,69,Excellent,Excellent,Thick to Very Thick,None,6.13,4.96,3.51,4170,GIA,None
Oval,,E,VS1,1,1.37,62.8,61,Excellent,Excellent,Thick to Very Thick,None,7.51,5.47,3.43,5010,GIA,None
Princess,Ideal,D,VS1,1.06,1.01,71.2,68,Excellent,Excellent,Medium,Pointed,5.55,5.52,3.93,1140,IGI Lab-Grown,None
Heart,,D,VS2,1.01,1.18,58.7,60,Excellent,Very Good,Slightly Thick to Thick,None,5.96,7.04,4.13,4680,GIA,None
Oval,,E,VS1,1.11,1.4,62.2,58,Excellent,Excellent,Medium to Slightly Thick,None,8.27,5.89,3.66,1080,GIA Lab-Grown,
Princess,Ideal,D,VS1,1.06,1.01,71.4,71,Excellent,Excellent,Medium,Pointed,5.59,5.56,3.97,1140,IGI Lab-Grown,None
Oval,,H,IF,1.02,1.59,63.4,63,Excellent,Excellent,Slightly Thick to Very Thick,None,8.56,5.37,3.4,4940,GIA,None
Cushion Modified,Very Good,G,VS2,1.01,1.14,70.1,64,Excellent,Very Good,Slightly Thick to Very Thick,None,5.97,5.23,3.66,2180,GIA,Medium
Heart,,E,VS2,1.01,1.18,58.6,59,Excellent,Excellent,Slightly Thick to Thick,None,6,7.06,4.14,3770,GIA,Faint
Cushion,Ideal,D,VVS2,2.06,1.02,65.7,63,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.49,7.32,4.81,7140,IGI Lab-Grown,None
Oval,,F,VS2,1,1.35,61.4,65,Excellent,Excellent,Slightly Thick to Thick,None,7.83,5.82,3.57,4910,GIA,None
Princess,Ideal,D,VS1,1.17,1,71.7,68,Excellent,Very Good,Slightly Thick to Thick,None,5.8,5.8,4.16,1190,GIA Lab-Grown,
Round,Excellent,E,VS1,1.56,1,61.7,58,Excellent,Excellent,Medium,None,7.42,7.45,4.59,1780,GIA Lab-Grown,
Princess,Very Good,E,VS2,1.01,1.01,68.4,76,Excellent,Very Good,Medium to Slightly Thick,None,5.68,5.65,3.86,3410,GIA,None
Cushion Modified,Ideal,E,VS1,1.64,1.01,67.9,62,Excellent,Very Good,Thick to Very Thick,None,6.83,6.78,4.6,2170,GIA Lab-Grown,
Pear,,F,VVS2,1,1.45,64.7,59,Excellent,Very Good,Thick to Very Thick,None,8.14,5.62,3.64,5070,GIA,None
Pear,,F,VS1,1.19,1.65,61.4,59,Excellent,Very Good,Slightly Thick to Thick,None,9.69,5.87,3.6,1110,GIA Lab-Grown,
Radiant,,G,VVS1,1.01,1.28,63.4,68,Excellent,Very Good,Slightly Thick to Thick,None,6.87,5.38,3.41,5350,GIA,None
Princess,Ideal,G,IF,1.05,1.01,72.7,70,Excellent,Excellent,Thick,None,5.5,5.46,3.97,4270,GIA,None
Marquise,,G,VS2,1.26,1.86,61.7,56,Excellent,Very Good,Slightly Thick to Very Thick,None,10.65,5.74,3.54,9110,GIA,None
Princess,Ideal,E,VS1,1.03,1,71.7,71,Excellent,Very Good,Slightly Thick to Thick,None,5.59,5.58,4,4310,GIA,None
Heart,,E,VS1,1.6,1.11,56.5,64,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.29,8.12,4.59,2170,IGI Lab-Grown,None
Radiant,,E,VS1,1.08,1.45,66.4,64,Excellent,Excellent,Thick to Very Thick,None,7.36,5.08,3.37,1070,GIA Lab-Grown,
Marquise,,D,VVS2,1.02,1.89,62.1,56,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.17,5.38,3.34,1300,IGI Lab-Grown,None
Marquise,,F,VS2,1,1.74,65.5,57,Excellent,Very Good,Slightly Thick to Extremely Thick,None,9.16,5.25,3.44,4610,GIA,None
Pear,,E,VS1,1.01,1.59,59.4,58,Excellent,Excellent,Thin to Medium,Pointed,9.13,5.74,3.41,1020,IGI Lab-Grown,None
Radiant,,F,VS1,1.03,1.44,67.9,65,Excellent,Excellent,Medium,Pointed,7.14,4.95,3.36,1070,IGI Lab-Grown,None
Pear,,F,VS1,1.03,1.58,61.8,62,Excellent,Excellent,Medium,Pointed,8.92,5.66,3.5,1030,IGI Lab-Grown,None
Marquise,,D,VS1,1.16,2,62.4,58,Excellent,Excellent,Slightly Thick to Thick,None,10.99,5.5,3.43,1260,GIA Lab-Grown,
Oval,,E,VS2,1.05,1.38,62.7,60,Excellent,Excellent,Slightly Thick to Thick,None,7.89,5.72,3.59,5240,GIA,None
Round,Excellent,H,VS1,1,1,61.8,60,Excellent,Excellent,Slightly Thick,None,6.37,6.4,3.95,5240,GIA,Faint
Heart,,G,IF,1.02,1.19,59.8,59,Excellent,Excellent,Medium to Thick,None,5.89,6.99,4.18,4470,GIA,Faint
Emerald,,H,VS1,1,1.36,68.5,63,Excellent,Very Good,Thick to Very Thick,None,6.5,4.78,3.27,2820,GIA,None
Princess,Ideal,E,VVS2,1.01,1,71.1,70,Excellent,Excellent,Medium,Pointed,5.38,5.36,3.81,1180,IGI Lab-Grown,None
Oval,,E,VS2,1.01,1.38,63.7,62,Very Good,Very Good,Medium to Very Thick,None,7.71,5.6,3.57,5050,GIA,None
Pear,,F,VS1,1.07,1.72,61.3,60,Excellent,Excellent,Thin to Medium,Pointed,9.67,5.63,3.45,1060,IGI Lab-Grown,None
Round,Excellent,H,VVS2,1.01,1,60.8,62,Excellent,Excellent,Medium to Slightly Thick,None,6.45,6.48,3.93,4140,GIA,Medium
Princess,Ideal,F,VS1,1.05,1.01,72.5,70,Excellent,Excellent,Thick,None,5.51,5.45,3.95,1030,GIA Lab-Grown,
Heart,,E,VS1,4.29,1.15,56.9,59,Excellent,Excellent,Medium to Slightly Thick,None,10.13,11.64,6.62,10190,GIA Lab-Grown,
Pear,,H,VS1,1,1.45,65.3,64,Excellent,Excellent,Slightly Thick to Very Thick,None,8.05,5.57,3.64,4020,GIA,None
Princess,Ideal,F,VS2,1.02,1.03,73.7,75,Excellent,Very Good,Slightly Thick,None,5.63,5.49,4.05,3490,GIA,None
Cushion Modified,Ideal,F,VS1,2.9,1.01,65.8,62,Excellent,Excellent,Thin to Slightly Thick,None,8.3,8.21,5.4,6790,GIA Lab-Grown,
Radiant,,E,VS2,1,1.06,75.7,67,Excellent,Very Good,Thick,None,5.62,5.29,4.01,3310,GIA,None
Radiant,,F,VS1,1,1.46,67.6,64,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.09,4.85,3.28,1040,IGI Lab-Grown,None
Heart,,D,IF,2.43,1.19,56.5,58,Excellent,Excellent,Slightly Thick to Very Thick,None,8.08,9.64,5.45,13540,GIA Lab-Grown,
Heart,,D,VS1,1.01,1.16,59.5,56,Very Good,Excellent,Slightly Thick to Very Thick,None,5.97,6.91,4.11,3700,GIA,Medium
Oval,,E,VS1,1.08,1.48,62.4,58,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.45,5.72,3.57,1050,IGI Lab-Grown,None
Marquise,,F,VVS2,1.09,2.09,60,61,Excellent,Very Good,Slightly Thick to Very Thick,None,11.18,5.34,3.2,6690,GIA,Faint
Princess,Ideal,E,VS1,1.19,1.01,72.9,68,Excellent,Excellent,Slightly Thick,Pointed,5.82,5.75,4.19,1180,IGI Lab-Grown,None
Emerald,,H,VS1,1,1.34,69.8,64,Excellent,Very Good,Very Thick,None,6.32,4.71,3.29,2930,GIA,None
Cushion Modified,Ideal,E,VS1,1.51,1.02,67.3,62,Excellent,Excellent,Thick to Very Thick,None,6.71,6.55,4.41,2980,GIA Lab-Grown,
Princess,Ideal,F,VVS2,1.07,1,71.9,69,Excellent,Excellent,Medium to Slightly Thick,Pointed,5.5,5.48,3.94,1200,IGI Lab-Grown,None
Marquise,,D,VS2,1.14,2.02,63.6,60,Excellent,Excellent,Slightly Thick to Thick,None,10.87,5.39,3.42,1200,GIA,None
Cushion,Ideal,E,VVS1,1.53,1.04,65.2,64,Excellent,Excellent,Medium to Thick,Pointed,6.77,6.52,4.25,3440,IGI Lab-Grown,None
Round,Ideal,E,VS1,1.59,1,61.7,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.44,7.47,4.6,1830,IGI Lab-Grown,None
Cushion Modified,Ideal,F,VS1,2.2,1,68.5,62,Excellent,Excellent,Slightly Thick to Thick,None,7.47,7.46,5.11,5260,GIA Lab-Grown,
Round,Excellent,E,VS1,1.58,1,60.7,58,Excellent,Excellent,Medium,None,7.52,7.55,4.57,1800,GIA Lab-Grown,
Oval,,E,VS1,1.08,1.49,62.7,60,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.56,5.73,3.59,1050,IGI Lab-Grown,None
Pear,,F,VVS2,1,1.51,59,62,Excellent,Excellent,Medium to Thick,None,8.69,5.76,3.4,4730,GIA,Faint
Oval,,F,VS2,1,1.4,62.8,64,Excellent,Excellent,Thick to Very Thick,None,7.7,5.51,3.46,4180,GIA,None
Pear,,H,VS2,1,1.51,57.9,63,Excellent,Excellent,Thin to Very Thick,None,8.77,5.8,3.36,4160,GIA,None
Radiant,,H,VS2,1,1.21,71.7,68,Excellent,Very Good,Thick to Very Thick,None,6.08,5.01,3.59,2750,GIA,Faint
Radiant,,G,VS1,1,1.3,68.8,67,Excellent,Excellent,Thick to Very Thick,None,6.56,5.05,3.47,3600,GIA,None
Emerald,,H,VS1,1,1.3,69.6,66,Excellent,Excellent,Thick to Very Thick,None,6.23,4.79,3.34,2710,GIA,None
Pear,,E,VS1,1.05,1.55,60.2,60,Excellent,Excellent,Medium,Pointed,8.95,5.78,3.48,1060,IGI Lab-Grown,None
Princess,Ideal,E,VS1,1.15,1.02,73,66,Excellent,Excellent,Medium,Pointed,5.69,5.59,4.08,1140,IGI Lab-Grown,None
Princess,Ideal,E,VS1,1.17,1,72.3,69,Excellent,Excellent,Medium,Pointed,5.76,5.74,4.15,1160,IGI Lab-Grown,None
Marquise,,D,VS1,1,1.97,63.5,57,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.2,5.18,3.29,1090,IGI Lab-Grown,None
Marquise,,D,VVS2,1.19,1.85,60.6,61,Excellent,Excellent,Medium to Thick,None,10.66,5.76,3.49,1530,GIA Lab-Grown,
Marquise,,D,VS2,1.03,1.88,63.8,60,Excellent,Very Good,Thick to Very Thick,None,9.91,5.27,3.36,6170,GIA,None
Princess,Ideal,E,VS1,1.19,1.01,70.3,68,Excellent,Very Good,Thick to Very Thick,None,5.79,5.73,4.03,1120,GIA Lab-Grown,
Marquise,,E,VS1,1.13,2.09,64.1,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,11.07,5.29,3.39,1130,IGI Lab-Grown,None
Pear,,E,VS2,1.04,1.53,63.1,61,Excellent,Excellent,Medium to Thick,None,8.75,5.71,3.6,4940,GIA,None
Princess,Ideal,H,VS1,1.18,1.02,72.5,73,Excellent,Very Good,Thick,None,5.75,5.66,4.11,4040,GIA,None
Radiant,,H,VS2,1,1.44,68.2,68,Excellent,Excellent,Thick to Very Thick,None,7.07,4.91,3.35,2970,GIA,None
Round,Excellent,D,VS1,1.57,1,61.7,56,Excellent,Excellent,Medium to Slightly Thick,None,7.44,7.46,4.6,1840,GIA Lab-Grown,
Oval,,E,VS2,1,1.35,61.8,62,Excellent,Excellent,Slightly Thick to Very Thick,None,7.64,5.66,3.5,4900,GIA,Faint
Heart,,D,VVS2,1.03,1.18,60.6,62,Excellent,Excellent,Slightly Thick to Thick,None,5.93,7.01,4.25,4640,GIA,Faint
Cushion Modified,Ideal,D,VVS1,1.5,1.02,64.7,62,Excellent,Excellent,Thin to Slightly Thick,None,6.62,6.49,4.2,3090,GIA Lab-Grown,
Cushion Modified,Very Good,H,VS2,1.2,1.11,73.6,65,Excellent,Very Good,Medium to Very Thick,None,6.1,5.48,4.03,2240,GIA,Faint
Round,Excellent,H,VS2,1,1.01,63.6,56,Excellent,Very Good,Medium to Slightly Thick,None,6.28,6.36,4.02,3660,GIA,None
Radiant,,D,VS1,1.05,1.49,66.4,63,Excellent,Excellent,Thick,None,7.37,4.94,3.28,1120,GIA Lab-Grown,
Pear,,F,VVS2,1.01,1.65,60.5,61,Excellent,Very Good,Slightly Thick to Thick,None,9.08,5.5,3.33,3700,GIA,Medium
Oval,,D,VS1,1,1.45,59.8,65,Excellent,Very Good,Slightly Thick to Very Thick,None,8.13,5.61,3.36,5270,GIA,None
Radiant,,E,VS1,1.01,1.19,75.8,70,Excellent,Good,Thick,None,5.97,5.02,3.8,4050,GIA,None
Cushion,Ideal,E,VS1,2.77,1.01,68.2,64,Excellent,Excellent,Slightly Thick to Thick,Pointed,8.16,8.05,5.49,4460,IGI Lab-Grown,None
Oval,,E,VS1,1.04,1.51,60.7,60,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.55,5.65,3.43,1020,IGI Lab-Grown,None
Oval,,D,VS2,1,1.62,57.6,60,Very Good,Very Good,Thick to Very Thick,None,8.83,5.44,3.14,4930,GIA,None
Marquise,,D,VVS2,1.52,1.88,58.7,60,Excellent,Excellent,Slightly Thick to Very Thick,None,11.34,6.03,3.54,16150,GIA,None
Marquise,,E,VVS2,1.04,2.03,62.7,58,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.66,5.25,3.29,1230,IGI Lab-Grown,None
Marquise,,F,VS2,1,1.91,60.7,61,Very Good,Very Good,Thick to Very Thick,None,10.05,5.26,3.2,5430,GIA,None
Radiant,,H,IF,1,1.28,65.8,66,Excellent,Excellent,Thick,None,6.54,5.11,3.36,3780,GIA,None
